Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2053,1,2,1,2,1,3,14,3,1.0,2.0,1.0,1.0,2.0,14.0,5.0,10.0,1.0,7.0,3.0,3.0,5.0,2.0,7.0,4.0
2054,1,3,2,1,1,1,1,7,2.0,2.0,1.0,2.0,2.0,12.0,1.0,5.0,12.0,4.0,2.0,5.0,14.0,5.0,,
2055,3,5,2,1,3,2,2,1,4.0,8.0,8.0,17.0,2.0,2.0,13.0,2.0,1.0,4.0,1.0,1.0,,,,
2056,1,7,2,1,2,3,6,2,20.0,5.0,17.0,7.0,7.0,10.0,3.0,1.0,1.0,,,,,,,
2057,1,1,1,3,19,2,10,4,5.0,7.0,4.0,69.0,11.0,3.0,2.0,1.0,1.0,,,,,,,
2058,2,1,5,11,5,3,2,1,17.0,4.0,24.0,2.0,1.0,1.0,,,,,,,,,,
2059,1,3,1,3,2,4,2,8,3.0,10.0,5.0,11.0,28.0,,,,,,,,,,,
2060,1,1,14,3,6,10,2,5,33.0,10.0,2.0,5.0,,,,,,,,,,,,
2061,1,5,2,1,3,7,2,5,21.0,18.0,7.0,2.0,5.0,7.0,1.0,,,,,,,,,
2062,1,4,3,6,7,1,22,18,23.0,4.0,7.0,,,,,,,,,,,,,
2063,1,1,3,1,6,9,25,1,8.0,13.0,7.0,4.0,1.0,5.0,1.0,,,,,,,,,
2064,1,4,22,4,1,20,8,1,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,
2065,1,1,3,8,1,1,4,3,3.0,8.0,11.0,31.0,2.0,2.0,38.0,2.0,6.0,4.0,,,,,,
2066,2,4,8,1,1,15,9,26,10.0,3.0,11.0,1.0,1.0,1.0,,,,,,,,,,
2067,3,8,3,30,10,16,17,7,4.0,4.0,1.0,,,,,,,,,,,,,
2068,1,2,4,1,1,6,1,2,30.0,3.0,3.0,1.0,6.0,1.0,7.0,7.0,1.0,2.0,2.0,4.0,1.0,,,
2069,2,3,4,5,10,3,7,2,2.0,7.0,1.0,3.0,5.0,6.0,3.0,6.0,2.0,2.0,1.0,,,,,
2070,3,5,9,13,4,4,1,8,7.0,2.0,6.0,1.0,4.0,1.0,3.0,2.0,1.0,,,,,,,
2071,1,6,3,1,1,6,10,4,28.0,6.0,3.0,8.0,2.0,2.0,4.0,2.0,,,,,,,,
2072,2,5,10,5,8,2,1,2,9.0,24.0,4.0,,,,,,,,,,,,,
2073,2,2,4,1,1,11,4,18,5.0,11.0,3.0,5.0,6.0,5.0,17.0,9.0,1.0,,,,,,,
2074,4,1,1,2,4,8,11,46,3.0,17.0,14.0,3.0,2.0,,,,,,,,,,,
2075,1,1,1,13,5,12,8,8,1.0,3.0,4.0,1.0,8.0,2.0,3.0,5.0,2.0,,,,,,,
2076,3,1,1,2,1,1,21,2,3.0,1.0,2.0,3.0,12.0,5.0,2.0,2.0,1.0,3.0,12.0,13.0,4.0,2.0,2.0,3.0
2077,1,2,4,2,52,17,4,7,3.0,1.0,1.0,3.0,1.0,3.0,,,,,,,,,,
2078,1,6,3,1,1,1,1,3,1.0,3.0,2.0,1.0,16.0,30.0,28.0,11.0,,,,,,,,
2079,14,10,2,8,3,15,3,24,1.0,3.0,6.0,13.0,12.0,,,,,,,,,,,
2080,1,10,4,4,2,1,5,5,4.0,18.0,7.0,3.0,18.0,2.0,7.0,21.0,2.0,1.0,3.0,1.0,1.0,,,
2081,2,9,1,9,9,6,22,9,4.0,1.0,2.0,7.0,2.0,30.0,1.0,8.0,,,,,,,,
2082,1,1,5,15,7,23,5,27,6.0,10.0,4.0,6.0,,,,,,,,,,,,
2083,3,3,1,4,1,1,8,17,15.0,9.0,11.0,1.0,17.0,2.0,5.0,6.0,,,,,,,,
2084,1,1,7,3,6,7,6,12,17.0,22.0,5.0,5.0,1.0,7.0,1.0,1.0,2.0,,,,,,,
2085,3,2,6,46,5,2,1,9,4.0,4.0,5.0,5.0,1.0,,,,,,,,,,,
2086,4,1,1,10,6,1,22,10,1.0,13.0,3.0,3.0,11.0,1.0,1.0,4.0,1.0,,,,,,,
2087,1,1,1,2,1,1,1,5,3.0,2.0,4.0,2.0,1.0,2.0,7.0,13.0,2.0,16.0,4.0,4.0,1.0,2.0,1.0,1.0
2088,8,1,1,2,8,1,2,23,3.0,2.0,3.0,2.0,19.0,4.0,18.0,1.0,1.0,1.0,,,,,,
2089,1,1,2,3,1,1,1,1,4.0,2.0,1.0,1.0,3.0,5.0,1.0,16.0,1.0,1.0,1.0,13.0,,,,
2090,2,4,1,1,2,1,4,8,1.0,3.0,11.0,8.0,3.0,3.0,1.0,,,,,,,,,
2091,2,3,13,3,2,1,2,7,18.0,1.0,1.0,2.0,6.0,6.0,4.0,1.0,,,,,,,,
2092,1,4,1,3,26,45,7,3,,,,,,,,,,,,,,,,
2093,1,2,2,5,1,3,4,4,48.0,1.0,1.0,1.0,2.0,6.0,,,,,,,,,,
2094,1,7,4,3,1,2,1,22,5.0,2.0,,,,,,,,,,,,,,
2095,8,5,6,1,5,1,17,2,1.0,21.0,22.0,1.0,2.0,2.0,1.0,,,,,,,,,
2096,1,5,1,10,4,5,1,6,7.0,3.0,9.0,10.0,4.0,4.0,1.0,2.0,1.0,,,,,,,
2097,1,1,1,1,2,20,44,5,13.0,6.0,,,,,,,,,,,,,,
2098,1,4,1,1,8,1,2,1,17.0,2.0,8.0,3.0,6.0,3.0,35.0,6.0,6.0,1.0,6.0,1.0,,,,
