Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
2071,1,5,3,1,1,6,10.0,4.0,5.0,22.0,6.0,3.0,8.0,2.0,2.0,4.0,2.0,,,,,,,,,
2072,2,5,9,5,8,2,1.0,2.0,8.0,24.0,4.0,,,,,,,,,,,,,,,
2073,2,1,4,1,11,4,18.0,5.0,11.0,3.0,5.0,6.0,5.0,17.0,9.0,1.0,,,,,,,,,,
2074,3,1,1,1,4,8,11.0,46.0,3.0,17.0,14.0,3.0,2.0,,,,,,,,,,,,,
2075,1,1,1,13,5,12,8.0,8.0,1.0,3.0,4.0,1.0,7.0,2.0,3.0,5.0,2.0,,,,,,,,,
2076,2,1,1,2,1,1,1.0,19.0,2.0,3.0,2.0,3.0,12.0,5.0,1.0,2.0,1.0,2.0,12.0,13.0,4.0,2.0,2.0,3.0,,
2077,1,2,4,2,52,17,4.0,7.0,2.0,1.0,1.0,3.0,1.0,3.0,,,,,,,,,,,,
2078,1,6,3,1,1,1,2.0,1.0,3.0,2.0,16.0,30.0,28.0,10.0,,,,,,,,,,,,
2079,14,10,2,8,2,15,3.0,24.0,1.0,3.0,6.0,12.0,12.0,,,,,,,,,,,,,
2080,10,3,4,2,1,5,5.0,4.0,18.0,7.0,3.0,5.0,12.0,2.0,7.0,21.0,2.0,1.0,3.0,1.0,1.0,,,,,
2081,1,7,1,1,9,9,6.0,22.0,7.0,1.0,4.0,1.0,2.0,6.0,2.0,3.0,26.0,1.0,8.0,,,,,,,
2082,1,1,5,15,7,23,5.0,27.0,4.0,1.0,10.0,4.0,6.0,,,,,,,,,,,,,
2083,3,3,4,1,1,8,5.0,11.0,15.0,9.0,11.0,1.0,17.0,2.0,5.0,6.0,,,,,,,,,,
2084,1,1,7,3,6,7,6.0,12.0,17.0,22.0,5.0,5.0,1.0,7.0,1.0,1.0,2.0,,,,,,,,,
2085,3,2,6,46,5,2,1.0,9.0,4.0,4.0,5.0,5.0,1.0,,,,,,,,,,,,,
2086,4,1,9,6,1,22,10.0,1.0,13.0,3.0,3.0,11.0,1.0,4.0,1.0,,,,,,,,,,,
2087,1,1,2,1,1,1,5.0,3.0,2.0,4.0,2.0,1.0,2.0,7.0,13.0,2.0,16.0,4.0,4.0,1.0,2.0,1.0,1.0,,,
2088,3,4,1,2,8,1,2.0,23.0,3.0,2.0,3.0,2.0,19.0,4.0,18.0,1.0,1.0,,,,,,,,,
2089,1,1,3,1,1,1,1.0,4.0,2.0,1.0,1.0,3.0,5.0,1.0,16.0,1.0,1.0,1.0,13.0,,,,,,,
2090,2,4,1,1,2,1,4.0,8.0,1.0,3.0,11.0,8.0,3.0,3.0,1.0,,,,,,,,,,,
2091,2,3,13,3,2,1,2.0,1.0,5.0,18.0,1.0,1.0,2.0,6.0,6.0,4.0,,,,,,,,,,
2092,4,3,26,45,7,3,,,,,,,,,,,,,,,,,,,,
2093,1,2,2,5,1,3,4.0,4.0,48.0,1.0,1.0,1.0,2.0,6.0,,,,,,,,,,,,
2094,1,6,4,3,1,2,1.0,22.0,5.0,2.0,,,,,,,,,,,,,,,,
2095,8,1,3,6,1,5,17.0,2.0,1.0,21.0,22.0,1.0,2.0,2.0,1.0,,,,,,,,,,,
2096,1,5,1,10,4,5,6.0,7.0,3.0,9.0,10.0,4.0,4.0,1.0,2.0,1.0,,,,,,,,,,
2097,1,1,1,1,2,20,44.0,5.0,13.0,6.0,,,,,,,,,,,,,,,,
2098,1,4,1,1,8,1,2.0,1.0,17.0,2.0,8.0,3.0,6.0,3.0,2.0,32.0,6.0,6.0,1.0,5.0,1.0,,,,,
