Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2044,2,2,5,1,5,5,10,1,1.0,3.0,1.0,16.0,3.0,7.0,15.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,10.0,2.0,1.0,2.0
2045,2,2,12,1,2,4,4,2,1.0,1.0,1.0,15.0,2.0,9.0,7.0,3.0,2.0,1.0,1.0,3.0,,,,,,,
2046,1,4,1,1,3,5,3,2,40.0,10.0,11.0,4.0,2.0,2.0,1.0,,,,,,,,,,,,
2047,2,6,2,1,73,7,4,2,2.0,1.0,3.0,3.0,1.0,,,,,,,,,,,,,,
2048,1,7,4,12,6,5,3,6,4.0,1.0,1.0,1.0,4.0,4.0,3.0,2.0,1.0,7.0,2.0,2.0,1.0,,,,,,
2049,2,1,3,1,1,7,3,1,1.0,21.0,16.0,5.0,4.0,4.0,2.0,1.0,1.0,,,,,,,,,,
2050,8,2,11,3,1,42,2,25,5.0,,,,,,,,,,,,,,,,,,
2051,1,1,1,11,1,3,48,1,1.0,2.0,1.0,2.0,8.0,2.0,,,,,,,,,,,,,
2052,5,56,1,23,2,2,6,1,,,,,,,,,,,,,,,,,,,
2053,1,13,11,74,2,9,1,4,1.0,,,,,,,,,,,,,,,,,,
2054,1,4,1,3,2,6,2,1,24.0,5.0,2.0,4.0,3.0,22.0,11.0,1.0,23.0,,,,,,,,,,
2055,10,4,17,8,1,9,18,22,6.0,10.0,3.0,1.0,,,,,,,,,,,,,,,
2056,1,1,1,1,2,7,1,11,6.0,4.0,1.0,2.0,3.0,4.0,12.0,1.0,,,,,,,,,,,
2057,1,4,1,6,1,12,16,1,2.0,6.0,6.0,62.0,6.0,6.0,1.0,4.0,,,,,,,,,,,
2058,2,1,5,1,11,5,3,2,1.0,17.0,4.0,24.0,2.0,1.0,1.0,,,,,,,,,,,,
2059,1,1,3,1,2,1,2,7,5.0,16.0,2.0,2.0,23.0,17.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,,,,,,
2060,2,1,1,3,8,3,4,7,8.0,4.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,
2061,1,5,2,1,3,7,2,5,22.0,18.0,7.0,2.0,5.0,7.0,1.0,,,,,,,,,,,,
2062,5,3,3,7,4,1,76,3,5.0,9.0,,,,,,,,,,,,,,,,,
2063,6,2,2,1,16,4,1,8,7.0,2.0,1.0,11.0,1.0,1.0,1.0,3.0,5.0,,,,,,,,,,
2064,1,2,1,1,6,11,31,14,1.0,7.0,12.0,1.0,8.0,3.0,1.0,,,,,,,,,,,,
2065,1,3,3,1,6,9,2,2,26.0,2.0,39.0,2.0,5.0,5.0,1.0,1.0,3.0,1.0,,,,,,,,,
2066,9,3,4,5,1,1,2,2,26.0,6.0,6.0,3.0,4.0,2.0,1.0,1.0,4.0,,,,,,,,,,
2067,1,3,3,26,4,8,5,1,12.0,4.0,1.0,9.0,1.0,,,,,,,,,,,,,,
2068,1,1,2,1,1,2,2,12,31.0,14.0,8.0,4.0,8.0,6.0,6.0,1.0,1.0,1.0,1.0,,,,,,,,
2069,9,3,1,4,5,53,4,8,6.0,3.0,2.0,6.0,2.0,1.0,2.0,,,,,,,,,,,,
2070,2,1,3,1,7,15,27,29,4.0,6.0,2.0,1.0,3.0,,,,,,,,,,,,,,
2071,1,6,3,1,1,6,10,4,5.0,24.0,6.0,3.0,8.0,2.0,2.0,4.0,2.0,,,,,,,,,,
2072,1,2,2,2,2,2,22,4,11.0,1.0,9.0,,,,,,,,,,,,,,,,
2073,1,1,1,16,2,1,5,2,12.0,7.0,27.0,4.0,1.0,11.0,1.0,1.0,1.0,1.0,,,,,,,,,
2074,1,2,2,1,1,3,1,7,1.0,10.0,4.0,3.0,31.0,1.0,10.0,2.0,6.0,14.0,1.0,1.0,1.0,,,,,,
2075,1,1,1,13,5,12,8,8,1.0,3.0,4.0,1.0,7.0,2.0,3.0,5.0,2.0,,,,,,,,,,
2076,1,1,6,4,5,1,1,2,1.0,4.0,1.0,21.0,35.0,8.0,4.0,5.0,5.0,,,,,,,,,,
2077,1,1,1,4,2,7,2,38,17.0,40.0,2.0,2.0,5.0,1.0,,,,,,,,,,,,,
2078,3,1,1,1,1,1,1,8,25.0,56.0,2.0,12.0,1.0,4.0,,,,,,,,,,,,,
2079,4,4,14,3,1,6,68,1,1.0,1.0,6.0,8.0,,,,,,,,,,,,,,,
2080,3,1,6,1,4,2,4,1,2.0,20.0,1.0,9.0,16.0,3.0,1.0,2.0,1.0,5.0,7.0,,,,,,,,
2081,4,15,4,41,40,2,1,1,11.0,3.0,4.0,,,,,,,,,,,,,,,,
2082,1,1,5,16,7,23,5,27,4.0,1.0,10.0,4.0,7.0,1.0,,,,,,,,,,,,,
2083,1,1,1,1,1,21,1,2,17.0,4.0,23.0,5.0,3.0,3.0,1.0,,,,,,,,,,,,
2084,1,2,1,2,7,4,8,4,2.0,2.0,16.0,5.0,8.0,2.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,,,,,,
2085,2,1,2,8,19,1,1,1,2.0,1.0,19.0,16.0,2.0,1.0,9.0,2.0,,,,,,,,,,,
2086,1,1,1,2,10,2,63,1,2.0,1.0,4.0,,,,,,,,,,,,,,,,
2087,8,1,1,2,6,11,28,24,2.0,1.0,2.0,1.0,1.0,9.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,
2088,1,3,1,3,4,1,1,4,1.0,4.0,3.0,5.0,20.0,6.0,6.0,4.0,12.0,3.0,,,,,,,,,
2089,1,1,2,1,1,6,4,22,3.0,37.0,2.0,3.0,2.0,6.0,1.0,1.0,5.0,,,,,,,,,,
2090,1,9,3,1,2,4,4,2,2.0,12.0,8.0,14.0,4.0,4.0,11.0,1.0,2.0,,,,,,,,,,
2091,1,1,2,2,2,1,5,6,21.0,21.0,10.0,3.0,1.0,2.0,2.0,2.0,2.0,4.0,5.0,1.0,,,,,,,
2092,1,3,2,6,2,1,3,12,1.0,3.0,14.0,24.0,2.0,11.0,10.0,3.0,4.0,,,,,,,,,,
2093,3,1,3,2,1,12,2,8,1.0,1.0,10.0,1.0,1.0,6.0,1.0,10.0,3.0,2.0,,,,,,,,,
2094,1,1,1,4,1,2,4,1,4.0,4.0,1.0,4.0,1.0,1.0,2.0,18.0,4.0,4.0,4.0,9.0,6.0,3.0,2.0,,,,
2095,4,1,9,4,1,9,3,5,22.0,21.0,1.0,2.0,1.0,1.0,7.0,,,,,,,,,,,,
2096,1,5,1,1,10,4,5,6,7.0,3.0,9.0,10.0,4.0,4.0,1.0,2.0,1.0,,,,,,,,,,
2097,6,3,1,14,10,1,35,26,1.0,1.0,8.0,1.0,1.0,,,,,,,,,,,,,,
2098,2,2,1,3,5,9,28,26,1.0,9.0,,,,,,,,,,,,,,,,,
