Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
2045,2,1,12,1,2,4,4,2,1.0,1.0,7.0,7.0,2.0,9.0,7.0,2.0,2.0,1.0,3.0,,,,,,,
2046,4,1,1,3,5,3,1,40,10.0,11.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,
2047,2,6,2,1,73,7,4,2,1.0,1.0,3.0,3.0,1.0,,,,,,,,,,,,,
2048,1,7,4,12,6,5,3,6,4.0,1.0,1.0,4.0,4.0,3.0,2.0,6.0,2.0,2.0,1.0,,,,,,,
2049,2,1,1,3,1,1,7,4,1.0,1.0,21.0,15.0,5.0,3.0,4.0,3.0,1.0,1.0,,,,,,,,
2050,8,2,11,3,1,42,2,2,22.0,5.0,,,,,,,,,,,,,,,,
2051,1,1,1,11,1,3,48,1,1.0,2.0,1.0,2.0,8.0,2.0,,,,,,,,,,,,
2052,4,56,1,23,2,2,6,1,,,,,,,,,,,,,,,,,,
2053,1,13,3,7,74,2,9,1,4.0,1.0,,,,,,,,,,,,,,,,
2054,1,4,1,2,2,7,2,1,24.0,5.0,2.0,4.0,3.0,21.0,11.0,23.0,,,,,,,,,,
2055,10,4,17,8,1,9,18,22,3.0,2.0,10.0,3.0,1.0,,,,,,,,,,,,,
2056,3,1,1,2,6,1,6,4,6.0,4.0,1.0,2.0,3.0,4.0,12.0,,,,,,,,,,,
2057,2,1,2,1,6,1,11,16,3.0,6.0,6.0,62.0,6.0,6.0,4.0,,,,,,,,,,,
2058,2,1,5,11,5,3,2,1,17.0,3.0,23.0,2.0,1.0,1.0,,,,,,,,,,,,
2059,1,3,2,2,1,3,7,5,16.0,2.0,2.0,23.0,17.0,2.0,1.0,3.0,3.0,1.0,2.0,,,,,,,
2060,2,1,1,3,8,3,4,7,8.0,4.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,
2061,1,5,2,1,1,1,3,3,2.0,5.0,21.0,18.0,7.0,2.0,4.0,7.0,1.0,,,,,,,,,
2062,5,3,3,6,4,1,76,3,5.0,9.0,,,,,,,,,,,,,,,,
2063,1,5,2,2,1,16,4,1,8.0,7.0,2.0,1.0,11.0,1.0,1.0,1.0,3.0,4.0,,,,,,,,
