Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2057,1,3,1,2,5,5,6,1,4,25.0,7.0,1.0,1.0,3.0,10.0,15.0,2.0,2.0,1.0,,,,,,,,,,,,
2058,4,1,2,1,4,2,1,2,4,73.0,7.0,4.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,
2059,2,2,2,11,2,1,9,1,1,4.0,1.0,4.0,44.0,2.0,7.0,3.0,7.0,,,,,,,,,,,,,,
2060,4,1,2,2,1,1,2,9,30,43.0,1.0,3.0,5.0,12.0,1.0,5.0,,,,,,,,,,,,,,,
2061,3,7,1,1,4,3,1,4,11,22.0,10.0,21.0,1.0,3.0,6.0,3.0,1.0,,,,,,,,,,,,,,
2062,1,2,1,1,6,7,2,3,2,2.0,2.0,8.0,1.0,9.0,5.0,3.0,1.0,3.0,10.0,1.0,3.0,3.0,6.0,3.0,2.0,,,,,,
2063,1,4,1,1,1,5,1,40,15,1.0,13.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
2064,1,2,1,2,1,6,6,3,7,6.0,1.0,1.0,5.0,2.0,1.0,25.0,5.0,3.0,1.0,,,,,,,,,,,,
2065,2,1,10,3,1,1,1,41,1,1.0,19.0,8.0,2.0,6.0,3.0,1.0,1.0,,,,,,,,,,,,,,
2066,1,1,3,6,6,18,6,25,57,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
2067,1,14,10,40,5,3,8,1,2,2.0,6.0,1.0,1.0,,,,,,,,,,,,,,,,,,
2068,2,1,3,1,3,55,6,15,4,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
2069,1,1,1,3,3,1,2,2,5,18.0,4.0,6.0,3.0,1.0,6.0,5.0,15.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,
2070,3,3,1,44,4,25,27,4,6,1.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,
2071,4,5,7,4,14,2,7,3,8,35.0,2.0,2.0,6.0,3.0,2.0,2.0,1.0,4.0,,,,,,,,,,,,,
2072,1,1,2,7,1,22,1,10,1,34.0,2.0,2.0,3.0,1.0,4.0,2.0,1.0,,,,,,,,,,,,,,
2073,3,1,1,2,2,16,1,14,2,9.0,1.0,3.0,33.0,1.0,11.0,1.0,2.0,2.0,3.0,3.0,,,,,,,,,,,
2074,1,2,30,24,17,1,2,3,2,3.0,1.0,1.0,1.0,5.0,1.0,1.0,,,,,,,,,,,,,,,
2075,1,5,2,5,23,1,2,1,1,29.0,3.0,32.0,4.0,13.0,1.0,,,,,,,,,,,,,,,,
2076,1,2,1,2,4,1,28,2,2,3.0,43.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,
2077,7,1,2,2,7,2,7,35,1,1.0,36.0,12.0,1.0,4.0,12.0,,,,,,,,,,,,,,,,
2078,1,1,1,1,1,2,2,2,1,2.0,4.0,22.0,1.0,6.0,4.0,18.0,7.0,15.0,4.0,,,,,,,,,,,,
2079,1,1,1,2,1,3,2,53,1,7.0,26.0,12.0,2.0,1.0,,,,,,,,,,,,,,,,,
2080,3,4,8,35,16,6,6,3,2,3.0,11.0,1.0,,,,,,,,,,,,,,,,,,,
2081,5,1,6,1,1,1,8,56,3,10.0,20.0,3.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,
2082,1,1,3,1,2,7,6,26,1,1.0,1.0,9.0,1.0,1.0,2.0,3.0,12.0,1.0,5.0,3.0,1.0,1.0,,,,,,,,,
2083,1,1,1,1,1,2,3,1,2,1.0,2.0,4.0,1.0,4.0,6.0,2.0,1.0,3.0,4.0,3.0,1.0,4.0,13.0,13.0,9.0,1.0,1.0,2.0,2.0,1.0,2.0
2084,6,1,3,1,4,8,6,5,44,2.0,3.0,7.0,1.0,8.0,5.0,3.0,2.0,3.0,,,,,,,,,,,,,
2085,1,1,5,12,1,13,2,3,5,2.0,16.0,4.0,4.0,8.0,8.0,5.0,4.0,1.0,,,,,,,,,,,,,
2086,2,1,3,4,2,2,5,1,68,20.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,
2087,1,4,1,1,1,2,2,4,13,46.0,6.0,2.0,1.0,2.0,3.0,3.0,5.0,3.0,1.0,,,,,,,,,,,,
2088,1,1,2,26,14,7,1,7,13,2.0,3.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,
2089,2,6,2,1,1,9,3,3,66,4.0,2.0,1.0,10.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,
2090,4,2,10,2,2,10,5,5,34,48.0,19.0,,,,,,,,,,,,,,,,,,,,
2091,2,3,3,2,4,5,1,1,58,33.0,1.0,,,,,,,,,,,,,,,,,,,,
2092,3,1,1,1,1,6,5,2,1,1.0,2.0,3.0,12.0,43.0,3.0,8.0,1.0,1.0,4.0,1.0,2.0,,,,,,,,,,
2093,3,3,1,2,2,2,2,4,15,17.0,52.0,12.0,1.0,4.0,3.0,,,,,,,,,,,,,,,,
2094,1,1,10,3,1,1,21,8,24,3.0,5.0,2.0,1.0,1.0,16.0,,,,,,,,,,,,,,,,
2095,5,2,2,31,4,51,23,12,2,,,,,,,,,,,,,,,,,,,,,,
2096,1,1,2,2,8,6,30,4,12,3.0,17.0,9.0,5.0,5.0,9.0,1.0,1.0,1.0,,,,,,,,,,,,,
2097,3,3,1,1,3,1,3,3,97,3.0,6.0,1.0,6.0,4.0,,,,,,,,,,,,,,,,,
2098,1,1,1,1,6,5,17,53,1,3.0,3.0,1.0,1.0,13.0,3.0,3.0,,,,,,,,,,,,,,,
