Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2060,1,4,1,4,1,9,1,7,3,2,8,2.0,2.0,7.0,20.0,11.0,3.0,3.0,5.0,3.0,1.0,,,,,,
2061,1,9,4,2,1,4,1,31,3,3,14,26.0,6.0,4.0,1.0,6.0,1.0,1.0,,,,,,,,,
2062,3,3,1,4,10,16,15,6,2,1,16,2.0,1.0,,,,,,,,,,,,,,
2063,2,3,2,2,3,13,1,11,21,1,9,12.0,18.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,6.0,,,,,,
2064,1,3,1,1,60,4,7,1,6,2,4,2.0,1.0,,,,,,,,,,,,,,
2065,2,2,10,3,1,1,5,2,14,4,38,13.0,5.0,14.0,3.0,9.0,,,,,,,,,,,
2066,4,1,11,19,18,2,2,4,10,24,2,6.0,4.0,5.0,2.0,,,,,,,,,,,,
2067,1,3,3,26,4,8,5,1,12,4,1,9.0,1.0,,,,,,,,,,,,,,
2068,4,2,2,2,4,5,1,1,29,2,1,29.0,11.0,6.0,2.0,1.0,2.0,1.0,,,,,,,,,
2069,5,3,6,4,2,1,2,2,1,1,21,1.0,8.0,14.0,3.0,6.0,14.0,1.0,2.0,1.0,,,,,,,
2070,2,1,3,1,7,15,27,29,4,6,2,1.0,3.0,,,,,,,,,,,,,,
2071,1,1,3,1,1,1,2,1,1,18,1,1.0,20.0,2.0,2.0,1.0,1.0,3.0,1.0,8.0,1.0,2.0,2.0,,,,
2072,1,2,5,5,3,5,2,5,1,7,1,3.0,5.0,1.0,1.0,10.0,12.0,9.0,5.0,7.0,1.0,1.0,6.0,1.0,5.0,1.0,2.0
2073,1,4,5,10,2,11,46,9,9,3,1,2.0,5.0,1.0,,,,,,,,,,,,,
2074,2,5,1,4,1,21,2,39,1,5,4,4.0,,,,,,,,,,,,,,,
2075,1,1,3,6,14,9,1,12,2,20,3,2.0,2.0,1.0,,,,,,,,,,,,,
2076,1,1,1,3,3,1,40,1,1,2,2,4.0,8.0,4.0,18.0,1.0,3.0,16.0,2.0,5.0,3.0,,,,,,
2077,3,4,1,1,4,6,1,3,2,3,1,9.0,19.0,6.0,49.0,13.0,3.0,1.0,1.0,,,,,,,,
2078,8,1,1,3,1,3,1,10,3,7,1,9.0,1.0,14.0,2.0,1.0,29.0,1.0,,,,,,,,,
2079,7,3,5,1,3,20,2,3,1,4,3,1.0,3.0,14.0,4.0,4.0,1.0,1.0,,,,,,,,,
2080,4,2,6,1,4,2,4,1,2,20,1,9.0,16.0,3.0,1.0,2.0,1.0,1.0,3.0,6.0,,,,,,,
2081,2,3,2,6,1,9,1,2,5,2,1,4.0,26.0,4.0,6.0,13.0,15.0,7.0,,,,,,,,,
2082,1,1,1,5,2,3,1,2,1,1,4,42.0,7.0,1.0,4.0,3.0,15.0,2.0,,,,,,,,,
2083,2,10,1,1,15,1,25,3,1,1,6,4.0,5.0,3.0,22.0,5.0,3.0,7.0,4.0,2.0,,,,,,,
2084,3,9,2,1,1,1,1,3,14,8,1,1.0,15.0,6.0,1.0,2.0,2.0,13.0,6.0,7.0,,,,,,,
2085,9,2,1,2,1,4,1,2,17,11,28,1.0,8.0,7.0,11.0,4.0,2.0,,,,,,,,,,
2086,1,2,1,1,9,3,16,12,13,3,9,1.0,1.0,3.0,8.0,,,,,,,,,,,,
2087,6,2,5,1,31,3,1,16,5,2,1,1.0,2.0,5.0,3.0,1.0,1.0,1.0,,,,,,,,,
2088,2,1,4,2,2,1,8,2,10,3,1,1.0,1.0,22.0,2.0,7.0,36.0,3.0,15.0,1.0,1.0,,,,,,
2089,2,1,5,1,8,1,7,10,52,3,10,4.0,12.0,4.0,,,,,,,,,,,,,
2090,1,3,21,4,5,15,31,4,26,3,1,3.0,8.0,,,,,,,,,,,,,,
2091,3,1,14,6,18,1,10,37,6,5,24,,,,,,,,,,,,,,,,
2092,2,7,1,2,2,2,1,3,1,6,2,1.0,2.0,1.0,3.0,2.0,2.0,3.0,24.0,10.0,5.0,1.0,2.0,1.0,1.0,1.0,9.0
2093,1,3,4,14,8,2,1,7,1,21,6,3.0,2.0,6.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,
2094,1,1,1,4,1,2,4,1,4,4,1,4.0,2.0,1.0,2.0,18.0,4.0,4.0,4.0,9.0,6.0,3.0,2.0,,,,
2095,1,1,4,1,2,3,2,1,18,34,7,16.0,22.0,2.0,4.0,,,,,,,,,,,,
2096,1,2,2,4,2,15,5,9,1,13,1,4.0,4.0,18.0,6.0,25.0,3.0,,,,,,,,,,
2097,1,7,3,1,14,10,1,35,26,1,1,8.0,3.0,,,,,,,,,,,,,,
2098,1,5,2,8,5,6,8,1,7,7,1,1.0,2.0,3.0,1.0,2.0,4.0,12.0,5.0,6.0,2.0,3.0,,,,,
