Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
2019,4,2,11,5,9,1,4,3,6,4.0,1.0,2.0,17.0,5.0,6.0,4.0,1.0,1.0,2.0,,,,,,,,,,
2020,4,4,1,3,2,9,6,1,5,3.0,2.0,22.0,7.0,4.0,2.0,6.0,2.0,3.0,9.0,2.0,3.0,3.0,,,,,,,
2021,8,3,6,17,1,30,11,7,4,13.0,1.0,13.0,1.0,,,,,,,,,,,,,,,,
2022,4,1,4,5,1,2,7,3,1,17.0,14.0,5.0,3.0,2.0,6.0,1.0,2.0,1.0,1.0,,,,,,,,,,
2023,3,2,1,1,6,2,6,1,1,1.0,7.0,8.0,1.0,17.0,2.0,5.0,1.0,4.0,,,,,,,,,,,
2024,1,2,1,7,6,1,10,7,7,2.0,1.0,2.0,36.0,24.0,2.0,6.0,,,,,,,,,,,,,
2025,6,5,18,4,19,19,6,11,9,2.0,1.0,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,
2026,4,6,4,17,2,16,7,2,2,1.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
2027,1,1,1,2,1,7,2,1,1,3.0,11.0,6.0,1.0,3.0,9.0,2.0,1.0,1.0,2.0,1.0,4.0,9.0,1.0,,,,,,
2028,1,2,6,1,2,4,2,11,2,9.0,2.0,3.0,9.0,2.0,5.0,6.0,6.0,7.0,4.0,1.0,,,,,,,,,
2029,3,1,1,1,2,1,4,16,8,5.0,6.0,13.0,1.0,3.0,8.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,
2030,5,2,3,1,4,3,3,4,2,2.0,2.0,2.0,4.0,4.0,3.0,5.0,1.0,1.0,1.0,20.0,4.0,1.0,1.0,2.0,2.0,2.0,,,
2031,1,2,3,2,1,1,1,2,19,22.0,7.0,1.0,18.0,5.0,4.0,6.0,4.0,4.0,2.0,1.0,1.0,,,,,,,,
2032,2,5,4,2,3,8,1,1,6,20.0,2.0,3.0,1.0,5.0,2.0,1.0,,,,,,,,,,,,,
2033,1,3,2,2,7,4,2,1,20,21.0,1.0,2.0,6.0,,,,,,,,,,,,,,,,
2034,1,2,2,2,1,4,11,1,3,14.0,7.0,7.0,5.0,2.0,3.0,1.0,5.0,,,,,,,,,,,,
2035,1,3,2,12,11,9,1,4,5,1.0,4.0,1.0,1.0,1.0,2.0,1.0,4.0,,,,,,,,,,,,
2036,2,2,2,7,1,11,1,16,2,22.0,7.0,1.0,4.0,2.0,,,,,,,,,,,,,,,
2037,2,1,15,4,19,3,7,4,6,4.0,12.0,2.0,1.0,2.0,1.0,1.0,10.0,3.0,,,,,,,,,,,
2038,1,2,1,5,1,2,2,1,10,1.0,1.0,1.0,12.0,1.0,4.0,9.0,1.0,1.0,1.0,5.0,16.0,,,,,,,,
2039,5,2,7,1,1,10,49,4,1,1.0,2.0,2.0,2.0,1.0,8.0,1.0,1.0,,,,,,,,,,,,
2040,2,1,1,1,1,2,10,2,2,18.0,13.0,1.0,5.0,2.0,4.0,4.0,2.0,2.0,,,,,,,,,,,
2041,1,1,17,5,1,1,8,7,13,4.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,
2042,2,1,1,1,1,1,11,10,1,1.0,3.0,1.0,1.0,3.0,34.0,2.0,2.0,2.0,9.0,2.0,,,,,,,,,
2043,3,2,3,2,10,9,12,23,10,1.0,3.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,
2044,5,1,1,2,5,1,2,11,2,3.0,3.0,5.0,1.0,9.0,27.0,11.0,3.0,1.0,1.0,5.0,,,,,,,,,
2045,6,7,3,2,6,5,1,2,1,3.0,6.0,8.0,1.0,24.0,1.0,1.0,2.0,1.0,,,,,,,,,,,
2046,6,2,4,5,2,2,6,3,8,1.0,5.0,2.0,8.0,27.0,1.0,1.0,1.0,,,,,,,,,,,,
2047,1,11,2,1,1,1,4,12,3,13.0,22.0,8.0,7.0,1.0,,,,,,,,,,,,,,,
2048,1,1,1,4,1,2,2,8,1,18.0,12.0,7.0,16.0,1.0,1.0,4.0,2.0,,,,,,,,,,,,
2049,2,1,3,1,41,10,6,4,5,,,,,,,,,,,,,,,,,,,,
2050,1,5,18,1,1,2,9,26,6,2.0,8.0,13.0,4.0,13.0,2.0,2.0,,,,,,,,,,,,,
2051,9,11,1,4,28,4,4,5,2,3.0,2.0,5.0,2.0,3.0,,,,,,,,,,,,,,,
2052,2,2,1,1,2,1,1,2,6,5.0,1.0,15.0,3.0,2.0,5.0,5.0,4.0,3.0,1.0,,,,,,,,,,
2053,1,1,2,11,1,6,4,1,1,1.0,5.0,20.0,1.0,3.0,16.0,2.0,7.0,4.0,1.0,10.0,3.0,4.0,6.0,,,,,,
2054,1,5,4,1,1,15,1,2,1,1.0,1.0,1.0,2.0,18.0,1.0,4.0,1.0,4.0,2.0,8.0,1.0,2.0,1.0,,,,,,
2055,1,1,1,2,14,3,2,1,10,1.0,6.0,10.0,2.0,,,,,,,,,,,,,,,,
2056,10,5,4,3,1,3,2,1,2,2.0,2.0,4.0,1.0,5.0,31.0,2.0,5.0,4.0,13.0,1.0,1.0,1.0,,,,,,,
2057,8,1,2,3,3,1,7,2,3,3.0,2.0,13.0,1.0,5.0,2.0,10.0,5.0,1.0,2.0,,,,,,,,,,
2058,2,12,1,1,2,5,3,12,2,1.0,5.0,6.0,36.0,1.0,10.0,1.0,,,,,,,,,,,,,
2059,2,7,1,9,9,7,2,16,13,1.0,2.0,5.0,1.0,1.0,7.0,1.0,4.0,2.0,4.0,3.0,,,,,,,,,
2060,1,3,4,1,9,1,4,1,3,2.0,5.0,1.0,2.0,2.0,7.0,17.0,1.0,11.0,3.0,3.0,5.0,1.0,1.0,,,,,,
2061,1,7,1,3,1,1,3,1,31,3.0,2.0,14.0,24.0,6.0,3.0,1.0,5.0,1.0,,,,,,,,,,,
2062,1,2,1,4,10,16,15,4,2,1.0,16.0,2.0,,,,,,,,,,,,,,,,,
2063,2,2,1,2,3,13,1,10,21,3.0,5.0,12.0,18.0,3.0,1.0,2.0,2.0,2.0,1.0,5.0,,,,,,,,,
2064,1,3,1,1,33,25,1,2,5,1.0,6.0,2.0,4.0,1.0,1.0,,,,,,,,,,,,,,
2065,1,10,3,1,1,5,1,14,4,38.0,13.0,4.0,14.0,2.0,1.0,7.0,,,,,,,,,,,,,
2066,3,1,11,8,10,10,1,3,1,2.0,4.0,8.0,23.0,2.0,6.0,4.0,1.0,1.0,,,,,,,,,,,
2067,1,2,3,21,4,4,8,5,1,12.0,2.0,1.0,1.0,8.0,1.0,,,,,,,,,,,,,,
2068,3,2,2,1,1,1,4,29,2,1.0,29.0,11.0,3.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,
2069,4,2,5,4,2,1,2,1,5,3.0,11.0,1.0,8.0,14.0,3.0,1.0,4.0,14.0,1.0,2.0,1.0,,,,,,,,
2070,1,2,1,7,15,26,29,2,6,1.0,1.0,3.0,,,,,,,,,,,,,,,,,
2071,1,3,1,1,2,1,16,1,1,1.0,17.0,2.0,2.0,1.0,1.0,2.0,1.0,8.0,1.0,2.0,2.0,,,,,,,,
2072,1,1,2,4,3,4,5,1,5,1.0,1.0,2.0,5.0,1.0,10.0,7.0,3.0,8.0,2.0,2.0,5.0,1.0,1.0,1.0,6.0,1.0,4.0,1.0,2.0
2073,2,5,10,2,11,1,44,9,9,3.0,1.0,4.0,,,,,,,,,,,,,,,,,
2074,1,4,1,3,20,1,39,5,4,3.0,,,,,,,,,,,,,,,,,,,
2075,1,1,3,6,6,7,9,1,5,6.0,2.0,20.0,2.0,1.0,1.0,,,,,,,,,,,,,,
2076,1,3,2,40,1,1,2,2,4,8.0,4.0,18.0,3.0,6.0,7.0,2.0,5.0,2.0,,,,,,,,,,,
2077,1,1,2,1,3,3,1,2,2,3.0,1.0,8.0,19.0,5.0,48.0,7.0,5.0,3.0,1.0,,,,,,,,,,
2078,7,2,1,2,1,10,2,7,9,1.0,13.0,1.0,1.0,29.0,1.0,,,,,,,,,,,,,,
2079,7,3,5,1,3,20,2,3,1,4.0,2.0,1.0,2.0,14.0,4.0,4.0,1.0,1.0,,,,,,,,,,,
2080,1,6,1,4,1,3,1,2,6,13.0,1.0,8.0,2.0,13.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,,,,,,,,
2081,1,2,2,6,1,9,2,5,2,3.0,25.0,4.0,6.0,13.0,14.0,5.0,,,,,,,,,,,,,
2082,1,1,5,3,1,2,1,1,4,1.0,38.0,7.0,1.0,2.0,2.0,15.0,2.0,,,,,,,,,,,,
2083,1,10,1,15,1,25,3,1,6,4.0,2.0,2.0,3.0,6.0,15.0,1.0,1.0,1.0,3.0,7.0,3.0,2.0,,,,,,,
2084,1,8,1,1,1,1,1,1,14,8.0,1.0,1.0,6.0,7.0,6.0,1.0,1.0,2.0,13.0,5.0,6.0,,,,,,,,
2085,9,1,1,1,1,4,2,17,11,2.0,17.0,7.0,1.0,7.0,6.0,10.0,4.0,1.0,,,,,,,,,,,
2086,1,1,9,3,14,1,5,4,13,1.0,5.0,3.0,1.0,2.0,5.0,,,,,,,,,,,,,,
2087,4,1,1,5,1,9,21,3,1,16.0,5.0,1.0,1.0,4.0,2.0,1.0,,,,,,,,,,,,,
2088,2,1,4,2,1,1,8,2,1,7.0,1.0,1.0,1.0,14.0,7.0,2.0,6.0,33.0,1.0,3.0,15.0,1.0,,,,,,,
2089,2,1,4,5,2,1,7,10,50,3.0,3.0,6.0,2.0,1.0,12.0,4.0,,,,,,,,,,,,,
2090,2,15,5,4,4,15,27,2,2,26.0,3.0,1.0,3.0,8.0,,,,,,,,,,,,,,,
2091,3,14,6,18,1,10,32,2,1,4.0,4.0,24.0,,,,,,,,,,,,,,,,,
2092,1,7,1,2,1,1,2,6,1,1.0,2.0,2.0,2.0,2.0,3.0,19.0,1.0,2.0,9.0,5.0,1.0,1.0,1.0,1.0,1.0,8.0,,,
2093,1,1,1,3,2,11,8,2,1,7.0,1.0,21.0,6.0,2.0,2.0,6.0,2.0,2.0,1.0,,,,,,,,,,
2094,1,3,1,2,1,2,1,3,4,1.0,3.0,1.0,2.0,14.0,3.0,4.0,4.0,3.0,9.0,5.0,2.0,1.0,,,,,,,
2095,1,4,1,2,1,1,1,1,18,14.0,15.0,2.0,3.0,3.0,16.0,17.0,4.0,1.0,4.0,,,,,,,,,,
2096,1,1,1,3,2,14,5,9,1,12.0,3.0,3.0,17.0,3.0,1.0,2.0,18.0,3.0,2.0,,,,,,,,,,
2097,2,3,1,14,9,1,35,26,1,1.0,8.0,1.0,1.0,,,,,,,,,,,,,,,,
2098,1,3,2,8,5,6,8,1,7,6.0,1.0,2.0,1.0,1.0,4.0,12.0,4.0,5.0,2.0,2.0,,,,,,,,,
