Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2043,5,3,3,5,4.0,1.0,5.0,10.0,5.0,9.0,1.0,1.0,2.0,4.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,6.0,,
2044,2,5,1,1,2.0,5.0,1.0,1.0,1.0,2.0,11.0,2.0,3.0,3.0,17.0,27.0,11.0,3.0,1.0,1.0,5.0,,,
2045,1,2,4,3,3.0,1.0,1.0,1.0,22.0,13.0,3.0,2.0,4.0,1.0,5.0,3.0,4.0,,,,,,,
2046,6,1,2,4,5.0,2.0,2.0,6.0,12.0,1.0,5.0,2.0,8.0,28.0,2.0,2.0,1.0,1.0,,,,,,
2047,1,11,2,1,1.0,1.0,4.0,12.0,3.0,37.0,1.0,8.0,7.0,1.0,,,,,,,,,,
2048,4,2,16,2,2.0,5.0,9.0,1.0,4.0,2.0,4.0,1.0,4.0,18.0,1.0,9.0,4.0,7.0,1.0,6.0,4.0,1.0,1.0,1.0
2049,2,4,1,2,15.0,7.0,2.0,2.0,2.0,1.0,7.0,1.0,2.0,11.0,1.0,3.0,16.0,4.0,2.0,1.0,17.0,1.0,1.0,
2050,2,1,2,1,2.0,1.0,12.0,13.0,2.0,11.0,2.0,1.0,3.0,5.0,15.0,1.0,1.0,1.0,1.0,2.0,,,,
2051,1,1,1,1,3.0,1.0,1.0,5.0,6.0,24.0,32.0,13.0,6.0,6.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,
2052,1,1,2,4,1.0,3.0,2.0,6.0,2.0,5.0,4.0,37.0,15.0,7.0,1.0,1.0,9.0,3.0,1.0,3.0,4.0,,,
2053,8,4,19,1,13.0,29.0,11.0,9.0,3.0,1.0,1.0,,,,,,,,,,,,,
2054,1,1,3,2,11.0,1.0,1.0,6.0,8.0,7.0,7.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,,,,
2055,3,5,2,3,2.0,2.0,1.0,4.0,8.0,8.0,17.0,2.0,2.0,13.0,2.0,1.0,4.0,1.0,1.0,,,,,
2056,3,1,1,4,6.0,1.0,7.0,14.0,2.0,23.0,1.0,1.0,1.0,3.0,4.0,3.0,1.0,3.0,1.0,,,,,
2057,1,2,3,3,5.0,13.0,13.0,2.0,4.0,16.0,2.0,11.0,5.0,3.0,3.0,3.0,,,,,,,,
2058,2,4,3,3,1.0,2.0,1.0,1.0,1.0,12.0,3.0,3.0,2.0,2.0,1.0,16.0,4.0,2.0,16.0,1.0,,,,
2059,1,2,1,3,2.0,4.0,1.0,3.0,1.0,2.0,3.0,9.0,5.0,11.0,28.0,,,,,,,,,
2060,1,1,5,1,2.0,25.0,1.0,2.0,5.0,1.0,3.0,2.0,7.0,13.0,1.0,3.0,12.0,2.0,2.0,5.0,3.0,2.0,,
2061,1,3,5,20,22.0,17.0,15.0,1.0,2.0,2.0,2.0,5.0,,,,,,,,,,,,
2062,4,3,2,11,5.0,71.0,1.0,6.0,7.0,,,,,,,,,,,,,,,
2063,2,1,2,8,2.0,2.0,1.0,2.0,28.0,30.0,16.0,1.0,2.0,3.0,,,,,,,,,,
2064,1,5,1,5,1.0,3.0,18.0,25.0,14.0,1.0,8.0,2.0,1.0,,,,,,,,,,,
2065,1,3,6,2,6.0,2.0,8.0,9.0,3.0,19.0,5.0,1.0,1.0,1.0,1.0,6.0,3.0,6.0,2.0,10.0,1.0,7.0,,
2066,1,1,1,2,2.0,4.0,1.0,1.0,2.0,1.0,13.0,10.0,11.0,2.0,4.0,6.0,11.0,4.0,8.0,1.0,1.0,,,
2067,2,5,3,1,8.0,11.0,15.0,13.0,5.0,1.0,3.0,11.0,14.0,8.0,2.0,4.0,1.0,,,,,,,
2068,3,1,2,4,2.0,1.0,25.0,7.0,14.0,5.0,4.0,5.0,10.0,3.0,4.0,1.0,1.0,,,,,,,
2069,4,4,1,3,3.0,1.0,3.0,4.0,2.0,1.0,2.0,7.0,12.0,2.0,6.0,2.0,6.0,2.0,4.0,2.0,3.0,2.0,1.0,
2070,1,1,1,6,4.0,1.0,2.0,4.0,16.0,1.0,6.0,4.0,28.0,1.0,32.0,1.0,1.0,6.0,1.0,2.0,,,,
2071,1,1,1,4,1.0,2.0,9.0,1.0,3.0,33.0,6.0,1.0,19.0,8.0,1.0,1.0,,,,,,,,
2072,2,5,9,5,8.0,2.0,1.0,1.0,8.0,24.0,4.0,,,,,,,,,,,,,
2073,1,1,3,1,1.0,3.0,8.0,51.0,3.0,1.0,1.0,6.0,,,,,,,,,,,,
