Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2031,1,1,10,1,9,7,29,2,19.0,1.0,2.0,2.0,5.0,1.0,,,,,,,,,,,
2032,1,1,6,1,1,2,6,8,2.0,1.0,4.0,7.0,3.0,1.0,5.0,1.0,1.0,1.0,2.0,10.0,,,,,
2033,3,4,3,3,8,30,2,1,20.0,14.0,1.0,2.0,3.0,2.0,4.0,1.0,,,,,,,,,
2034,1,1,2,4,2,5,2,6,5.0,26.0,18.0,7.0,12.0,1.0,3.0,1.0,4.0,2.0,2.0,4.0,2.0,,,,
2035,2,1,2,2,3,1,9,12,28.0,11.0,7.0,3.0,1.0,4.0,,,,,,,,,,,
2036,1,1,9,1,7,2,8,1,2.0,2.0,4.0,17.0,33.0,3.0,1.0,4.0,,,,,,,,,
2037,1,10,11,1,4,16,5,1,1.0,1.0,4.0,3.0,1.0,1.0,3.0,,,,,,,,,,
2038,2,3,2,1,4,37,1,5,23.0,2.0,4.0,7.0,4.0,2.0,1.0,,,,,,,,,,
2039,2,1,1,1,1,23,11,19,3.0,2.0,5.0,4.0,4.0,1.0,1.0,,,,,,,,,,
2040,1,2,6,2,2,14,1,1,14.0,40.0,,,,,,,,,,,,,,,
2041,1,2,2,1,1,17,1,7,58.0,5.0,1.0,4.0,,,,,,,,,,,,,
2042,1,4,2,1,11,4,1,2,1.0,3.0,2.0,12.0,1.0,3.0,5.0,3.0,6.0,1.0,1.0,,,,,,
2043,1,3,1,1,4,14,5,20,35.0,2.0,28.0,,,,,,,,,,,,,,
2044,2,2,1,1,1,5,5,10,1.0,3.0,6.0,9.0,3.0,7.0,15.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,9.0,2.0,1.0
2045,1,1,4,3,3,1,1,14,1.0,5.0,13.0,3.0,2.0,4.0,1.0,4.0,3.0,2.0,1.0,,,,,,
2046,2,1,1,1,1,5,2,1,1.0,9.0,2.0,14.0,5.0,8.0,7.0,3.0,1.0,1.0,6.0,4.0,1.0,,,,
2047,3,10,2,2,5,1,1,46,9.0,6.0,4.0,1.0,1.0,2.0,,,,,,,,,,,
2048,1,1,8,2,2,16,3,9,20.0,3.0,3.0,31.0,4.0,1.0,1.0,1.0,2.0,,,,,,,,
2049,20,2,1,4,10,2,2,13,2.0,2.0,5.0,11.0,14.0,1.0,2.0,13.0,4.0,1.0,,,,,,,
2050,2,1,2,2,8,2,7,10,3.0,8.0,1.0,2.0,1.0,33.0,3.0,5.0,,,,,,,,,
2051,4,1,1,1,1,9,1,1,9.0,2.0,6.0,7.0,11.0,1.0,7.0,3.0,,,,,,,,,
2052,1,1,6,9,4,1,3,8,3.0,2.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,5.0,3.0,5.0,2.0,3.0,,,
2053,2,16,71,5,8,1,4,3,,,,,,,,,,,,,,,,,
2054,2,1,4,1,17,5,5,1,2.0,4.0,22.0,3.0,1.0,1.0,1.0,11.0,6.0,,,,,,,,
2055,1,1,17,1,5,3,6,22,27.0,23.0,1.0,5.0,1.0,,,,,,,,,,,,
2056,1,4,1,2,1,10,1,1,4.0,5.0,5.0,3.0,3.0,18.0,1.0,1.0,2.0,,,,,,,,
2057,1,1,7,1,1,11,1,1,35.0,14.0,8.0,1.0,5.0,2.0,,,,,,,,,,,
2058,1,2,6,16,10,1,1,34,3.0,21.0,1.0,1.0,3.0,,,,,,,,,,,,
2059,3,28,12,3,12,7,3,2,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,
2060,2,1,3,3,1,2,3,4,6.0,6.0,1.0,3.0,4.0,1.0,1.0,1.0,,,,,,,,,
2061,1,5,1,2,3,3,2,1,1.0,7.0,18.0,3.0,2.0,7.0,3.0,11.0,1.0,1.0,2.0,2.0,,,,,
2062,1,1,3,1,1,41,23,1,5.0,3.0,1.0,6.0,2.0,,,,,,,,,,,,
2063,1,1,5,4,1,2,7,1,1.0,7.0,1.0,2.0,1.0,9.0,25.0,1.0,2.0,1.0,1.0,10.0,1.0,2.0,9.0,1.0,3.0
2064,1,2,4,1,14,12,1,4,13.0,8.0,1.0,1.0,3.0,3.0,6.0,2.0,,,,,,,,,
2065,1,2,5,2,1,4,2,3,33.0,3.0,1.0,4.0,4.0,3.0,12.0,,,,,,,,,,
2066,1,2,1,3,1,9,1,7,1.0,5.0,1.0,1.0,3.0,2.0,36.0,3.0,2.0,2.0,1.0,2.0,1.0,6.0,,,
2067,1,5,3,8,11,15,13,5,1.0,2.0,10.0,14.0,7.0,2.0,1.0,1.0,1.0,,,,,,,,
2068,1,2,4,4,3,14,10,4,20.0,2.0,16.0,6.0,2.0,1.0,2.0,,,,,,,,,,
2069,1,2,1,1,5,1,5,1,3.0,3.0,19.0,6.0,1.0,1.0,3.0,3.0,8.0,1.0,6.0,,,,,,
2070,1,11,9,17,30,10,2,5,2.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,
2071,1,1,2,4,1,7,2,4,3.0,9.0,5.0,3.0,9.0,21.0,7.0,1.0,1.0,2.0,,,,,,,
2072,3,8,23,2,5,2,26,4,23.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,
2073,3,1,3,35,1,4,1,19,27.0,1.0,3.0,12.0,2.0,1.0,1.0,2.0,,,,,,,,,
2074,2,1,9,1,1,33,8,2,2.0,5.0,1.0,5.0,3.0,1.0,,,,,,,,,,,
2075,2,12,5,36,16,1,7,5,1.0,3.0,8.0,1.0,2.0,,,,,,,,,,,,
2076,1,4,3,1,31,13,19,2,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,
2077,2,3,10,7,1,7,1,6,5.0,4.0,6.0,1.0,4.0,1.0,,,,,,,,,,,
2078,1,2,9,48,11,13,5,3,,,,,,,,,,,,,,,,,
2079,1,3,1,3,22,7,2,58,3.0,24.0,3.0,7.0,2.0,4.0,,,,,,,,,,,
2080,1,1,35,1,20,27,2,8,2.0,1.0,,,,,,,,,,,,,,,
2081,1,1,1,5,1,21,25,5,2.0,3.0,1.0,3.0,1.0,3.0,8.0,1.0,1.0,2.0,,,,,,,
2082,2,1,1,2,1,15,12,5,1.0,1.0,6.0,3.0,,,,,,,,,,,,,
2083,1,1,1,2,2,3,1,5,1.0,1.0,4.0,1.0,9.0,11.0,12.0,1.0,1.0,,,,,,,,
2084,2,11,2,4,7,2,4,19,5.0,1.0,1.0,12.0,2.0,1.0,5.0,4.0,1.0,,,,,,,,
2085,3,8,1,1,4,7,10,24,4.0,6.0,2.0,10.0,5.0,13.0,2.0,,,,,,,,,,
2086,1,1,1,1,5,1,45,1,2.0,6.0,8.0,3.0,1.0,2.0,,,,,,,,,,,
2087,1,3,8,4,2,14,4,3,5.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,,,,,,
2088,3,1,4,2,1,8,27,3,1.0,29.0,1.0,9.0,5.0,6.0,3.0,,,,,,,,,,
2089,1,2,3,1,1,4,2,2,8.0,1.0,3.0,1.0,4.0,5.0,17.0,7.0,6.0,1.0,,,,,,,
2090,2,1,1,5,10,4,4,2,8.0,33.0,1.0,2.0,1.0,11.0,7.0,8.0,1.0,2.0,1.0,,,,,,
2091,3,2,17,3,2,6,47,4,7.0,1.0,2.0,4.0,5.0,6.0,,,,,,,,,,,
2092,1,5,8,22,1,9,3,1,5.0,15.0,3.0,23.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,
2093,1,1,4,5,1,1,4,1,1.0,3.0,2.0,17.0,2.0,1.0,,,,,,,,,,,
2094,6,1,4,3,1,1,6,4,24.0,2.0,9.0,8.0,1.0,10.0,2.0,,,,,,,,,,
2095,1,2,1,1,3,7,14,9,5.0,2.0,2.0,12.0,2.0,5.0,2.0,4.0,,,,,,,,,
2096,3,16,2,10,8,1,20,1,14.0,5.0,1.0,2.0,2.0,2.0,,,,,,,,,,,
2097,1,3,1,1,6,13,36,10,4.0,,,,,,,,,,,,,,,,
2098,1,1,8,1,10,5,1,10,8.0,26.0,2.0,1.0,10.0,,,,,,,,,,,,
