Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2088,1,3,13,3,11,8,27,14,1,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,
2089,1,1,2,2,4,1,13,3,12,1.0,4.0,2.0,4.0,1.0,5.0,6.0,8.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,
2090,1,1,1,1,1,1,4,3,17,3.0,4.0,5.0,5.0,4.0,11.0,13.0,2.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,
2091,2,1,1,9,1,1,1,9,55,8.0,5.0,2.0,1.0,,,,,,,,,,,,,,,,,
2092,1,1,1,5,1,1,1,2,3,2.0,6.0,6.0,16.0,19.0,38.0,7.0,3.0,1.0,,,,,,,,,,,,
2093,1,1,2,1,1,2,1,10,1,9.0,10.0,20.0,11.0,3.0,3.0,6.0,3.0,2.0,2.0,9.0,3.0,5.0,1.0,1.0,,,,,,
2094,1,1,2,1,8,37,22,7,15,3.0,1.0,1.0,6.0,1.0,3.0,3.0,,,,,,,,,,,,,,
2095,2,1,1,8,29,1,1,1,5,18.0,6.0,4.0,3.0,5.0,3.0,1.0,6.0,1.0,,,,,,,,,,,,
2096,1,1,12,1,15,5,2,59,2,11.0,12.0,6.0,3.0,1.0,3.0,,,,,,,,,,,,,,,
2097,7,2,5,4,1,5,1,3,3,8.0,1.0,14.0,10.0,8.0,2.0,1.0,1.0,3.0,3.0,,,,,,,,,,,
2098,1,9,4,5,4,7,49,1,1,,,,,,,,,,,,,,,,,,,,,
