Season,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
2086,2,2,1,1,1,1,7,11.0,21.0,68.0,15.0,4.0,1.0,,,,,,,,,,,,,,,,
2087,3,2,1,7,1,1,2,2.0,3.0,9.0,9.0,1.0,99.0,14.0,2.0,2.0,,,,,,,,,,,,,
2088,1,1,5,1,1,2,40,42.0,6.0,23.0,33.0,1.0,1.0,8.0,1.0,1.0,,,,,,,,,,,,,
2089,1,4,5,2,3,1,5,6.0,14.0,75.0,20.0,2.0,2.0,3.0,4.0,,,,,,,,,,,,,,
2090,1,3,1,2,4,4,32,12.0,54.0,5.0,1.0,5.0,2.0,3.0,1.0,,,,,,,,,,,,,,
2091,6,1,1,1,2,1,2,1.0,14.0,4.0,14.0,19.0,12.0,13.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,4.0,8.0,,,,,,
2092,1,1,2,1,1,18,2,3.0,11.0,81.0,16.0,10.0,2.0,,,,,,,,,,,,,,,,
2093,1,1,3,1,9,11,3,54.0,13.0,4.0,2.0,2.0,11.0,4.0,2.0,2.0,,,,,,,,,,,,,
2094,2,1,4,10,10,18,8,84.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
2095,6,1,1,2,1,1,2,2.0,2.0,4.0,8.0,99.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,
2096,1,1,2,1,5,2,11,3.0,13.0,70.0,8.0,3.0,2.0,3.0,2.0,,,,,,,,,,,,,,
2097,1,2,4,6,1,4,3,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,15.0,113.0,,,,,,,,,,,,
2098,4,4,5,1,25,72,6,7.0,2.0,,,,,,,,,,,,,,,,,,,,
